"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SCB","2024-05-06","515","517.9","512","513.5","-0.54 %","12,355.00"
"SCB","2024-05-05","513.9","520","513.9","516.3","-0.90 %","7,808.00"
"SCB","2024-05-02","532.7","532.7","516.1","521","-0.25 %","9,683.00"
"SCB","2024-04-30","534.4","534.4","517.1","522.3","-0.32 %","10,327.00"
"SCB","2024-04-29","527","528","519.5","524","0.00 %","7,126.00"
"SCB","2024-04-28","517","524","517","524","1.35 %","9,850.00"
"SCB","2024-04-25","514","524.9","514","517","-0.39 %","5,327.00"
"SCB","2024-04-24","524","530","517.1","519","0.19 %","5,026.00"
"SCB","2024-04-22","517","524","515","518","0.12 %","11,787.00"
"SCB","2024-04-21","514.3","520","514.3","517.4","0.29 %","12,086.00"
"SCB","2024-04-18","518","519","515","515.9","-0.48 %","7,793.00"
"SCB","2024-04-16","516","522","516","518.4","0.47 %","5,844.00"
"SCB","2024-04-15","522","525","515.1","516","-1.71 %","9,830.00"
"SCB","2024-04-14","529","529","519","525","0.02 %","15,270.00"
"SCB","2024-04-10","530.1","530.1","517","524.9","0.98 %","6,900.00"
"SCB","2024-04-09","517","522.5","516","519.8","0.89 %","14,473.00"
"SCB","2024-04-07","514.9","519","510","515.2","0.06 %","8,105.00"
"SCB","2024-04-04","511.2","523.8","511.2","514.9","-0.02 %","9,348.00"
"SCB","2024-04-03","512","516","512","515","0.27 %","9,763.00"
"SCB","2024-04-02","513.5","517","512.1","513.6","-0.02 %","5,907.00"
"SCB","2024-04-01","511","515","508","513.7","0.73 %","7,194.00"
"SCB","2024-03-31","513","522","510","510","-1.73 %","13,366.00"
"SCB","2024-03-28","515.1","524","515.1","519","-0.57 %","16,744.00"
"SCB","2024-03-27","520","523.9","519.1","522","-0.57 %","15,432.00"
"SCB","2024-03-26","529","529","517","525","0.96 %","7,655.00"
"SCB","2024-03-25","520","521","511.1","520","0.00 %","7,645.00"
"SCB","2024-03-21","521","526","520","520","-0.76 %","6,389.00"
"SCB","2024-03-20","530","530","520.5","524","0.19 %","6,879.00"
"SCB","2024-03-19","517","535","517","523","-0.76 %","6,893.00"
"SCB","2024-03-18","523","528","523","527","-0.19 %","11,176.00"
"SCB","2024-03-17","521","530","517","528","0.38 %","5,997.00"
"SCB","2024-03-14","531","539","522","526","-1.87 %","7,900.00"
"SCB","2024-03-13","529.1","540","529.1","536","-0.67 %","14,465.00"
"SCB","2024-03-12","525","540","520.4","539.6","3.51 %","30,695.00"
"SCB","2024-03-10","528.5","529","518.5","521.3","0.06 %","5,082.00"
"SCB","2024-03-07","519","528","518","521","0.39 %","4,949.00"
"SCB","2024-03-06","508.3","524.2","508","519","0.27 %","7,914.00"
"SCB","2024-03-05","525","530","514.4","517.6","-1.41 %","9,514.00"
"SCB","2024-03-04","510","525","510","525","4.37 %","225.00"
"SCB","2024-03-03","505","507","497.4","503","-0.40 %","17,764.00"
"SCB","2024-02-29","500.1","507.7","500.1","505","-0.59 %","8,226.00"
"SCB","2024-02-28","503.2","508","500","508","-0.20 %","18,177.00"
"SCB","2024-02-27","512","512","504.5","509","0.00 %","14,713.00"
"SCB","2024-02-26","513","513","504.5","509","-0.20 %","10,427.00"
"SCB","2024-02-25","514.9","516","509","510","-0.60 %","15,838.00"
"SCB","2024-02-22","518.5","520","513.1","513.1","-1.52 %","13,942.00"
"SCB","2024-02-21","519","524.5","519","521","-0.55 %","8,644.00"
"SCB","2024-02-20","520.1","530","519.1","523.9","-0.40 %","10,811.00"
"SCB","2024-02-18","528","530","522.1","526","-0.34 %","10,090.00"
"SCB","2024-02-15","525.1","529","523","527.8","-0.08 %","10,142.00"
"SCB","2024-02-14","528","531","526","528.2","-0.36 %","7,459.00"
"SCB","2024-02-13","536","536","530","530.1","-0.73 %","7,931.00"
"SCB","2024-02-12","530","534.9","530","534","0.36 %","6,285.00"
"SCB","2024-02-11","538","539.8","530","532.1","-0.24 %","10,645.00"
"SCB","2024-02-08","530.3","540","530.2","533.4","-0.49 %","3,879.00"
